,ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,ProductName_pro,Category_pro,SubCategory_pro,DiscountPrice_pro,ProductName_Brand_pro,Price_DiscountPrice_pro,ProductName_DiscountPrice_pro
Unique,6769,842,1043,2180,8202,781,11,334,8208,6734,11,334,2180,6808,4472,8134
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NoNull,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208
Total,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208,8208
Data type,object,object,float64,float64,object,object,object,object,object,object,object,object,float64,object,object,object
